ÏñÔª	¹âÇ¿
1172	 60
1173	 59
1174	 58
1175	 57
1176	 57
1177	 55
1178	 54
1179	 54
1180	 55
1181	 55
1182	 55
1183	 55
1184	 54
1185	 54
1186	 54
1187	 54
1188	 55
1189	 54
1190	 54
1191	 53
1192	 53
1193	 54
1194	 54
1195	 54
1196	 55
1197	 57
1198	 59
1199	 61
1200	 64
1201	 67
1202	 72
1203	 78
1204	 85
1205	 93
1206	101
1207	110
1208	119
1209	129
1210	138
1211	146
1212	153
1213	159
1214	165
1215	172
1216	177
1217	182
1218	185
1219	185
1220	182
1221	179
1222	175
1223	168
1224	160
1225	152
1226	143
1227	136
1228	128
1229	120
1230	111
1231	103
1232	 95
1233	 88
1234	 83
1235	 78
1236	 73
1237	 71
1238	 67
1239	 66
1240	 66
1241	 66
1242	 69
1243	 71
1244	 75
1245	 79
1246	 86
1247	 93
1248	100
1249	109
1250	117
1251	126
1252	134
1253	143
1254	153
1255	162
1256	171
1257	180
1258	188
1259	194
1260	199
1261	203
1262	205
1263	207
1264	209
1265	205
1266	204
1267	200
1268	195
1269	187
1270	179
1271	172
1272	164
1273	155
1274	147
1275	138
1276	129
1277	120
1278	111
1279	102
1280	 94
1281	 87
1282	 81
1283	 75
1284	 71
1285	 68
1286	 66
1287	 67
1288	 68
1289	 69
1290	 73
1291	 77
1292	 84
1293	 91
1294	 99
1295	108
1296	118
1297	129
1298	139
1299	147
1300	156
1301	164
1302	174
1303	183
1304	191
1305	198
1306	204
1307	209
1308	212
1309	215
1310	216
1311	218
1312	216
1313	213
1314	210
1315	206
1316	197
1317	190
1318	182
1319	172
1320	162
1321	155
1322	145
1323	136
1324	126
1325	116
1326	107
1327	100
1328	 91
1329	 83
1330	 78
1331	 74
1332	 71
1333	 70
1334	 69
1335	 70
1336	 70
1337	 73
1338	 79
1339	 85
1340	 92
1341	100
1342	109
1343	119
1344	129
1345	139
1346	148
1347	159
1348	167
1349	178
1350	186
1351	194
1352	201
1353	207
1354	212
1355	217
1356	221
1357	224
1358	226
1359	225
1360	226
1361	227
1362	228
1363	228
1364	227
1365	227
1366	227
1367	225
1368	225
1369	225
1370	225
1371	225
1372	224
1373	222
1374	222
1375	221
1376	221
1377	219
1378	218
1379	219
1380	219
1381	219
1382	218
1383	219
1384	218
1385	217
1386	215
1387	215
1388	215
1389	216
1390	216
1391	217
1392	217
1393	217
1394	218
1395	219
1396	218
1397	217
1398	218
1399	218
1400	216
1401	216
1402	214
1403	215
1404	214
1405	212
1406	209
1407	206
1408	201
1409	194
1410	187
1411	179
1412	169
1413	157
1414	146
1415	136
1416	128
1417	121
1418	114
1419	106
1420	100
1421	 92
1422	 86
1423	 81
1424	 76
1425	 73
1426	 71
1427	 69
1428	 70
1429	 72
1430	 72
1431	 73
1432	 76
1433	 83
1434	 92
1435	103
1436	115
1437	124
1438	134
1439	145
1440	154
1441	163
1442	172
1443	178
1444	186
1445	193
1446	198
1447	204
1448	207
1449	210
1450	214
1451	215
1452	217
1453	217
1454	217
1455	216
